coronavirus,231544
virus,141994
people,129079
health,123648
outbreak,101491
hospital,58051
spread,55836
government,54445
patient,51858
disease,51067
passenger,48646
covid,47710
quarantine,46741
death,44712
market,43397
medical,42593
infected,41317
mask,40548
infection,36116
travel,32440
flight,32402
company,31762
authority,31349
worker,28506
symptom,25879
epidemic,25790
business,24050
staff,24038
protective,23539
risk,23471
minister,23094
airport,22868
face,22693
president,22652
work,22413
control,22378
ministry,22227
impact,21634
economy,21021
test,20837
stock,20738
fear,20432
school,18631
contact,18482
quarantined,18116
economic,17655
concern,17511
rate,16997
sars,16816
statement,16623
growth,16347
died,16335
response,16147
service,16127
help,15962
emergency,15839
result,15465
doctor,15094
event,15071
expert,14896
spreading,14463
pandemic,14446
university,14248
family,14242
plan,13246
student,13169
airline,13141
deadly,13024
flu,12891
killed,12830
illness,12789
price,12577
air,12438
bank,12242
crisis,12179
resident,12166
isolation,12090
trade,12013
financial,11569
hotel,11458
vaccine,11335
investor,11226
border,11029
respiratory,10920
care,10842
support,10717
testing,10681
police,10592
prevention,10556
treatment,10247
temperature,10188
facility,10107
industry,10080
social,10022
press,9841
officer,9841
restriction,9783
plane,9765
production,9691
diagnosed,9658
condition,9644
prevent,9589
tourist,9035
lockdown,8938
ban,8866
fever,8643
research,8588
factory,8524
cause,8499
holiday,8427
evacuated,8371
security,8330
employee,8279
threat,8224
ncov,8078
order,8077
issue,8018
policy,8003
revenue,7933
infectious,7872
transmission,7847
development,7633
study,7597
oil,7498
drug,7469
cost,7307
leader,7194
administration,7103
scientist,7024
effect,7024
military,6789
analyst,6718
tourism,6697
safety,6685
caused,6669
