,Topics,Coherence,Silhouette,Top_terms
0,3,0.6153838516409632,0.004809432125111551,"[['ship', 'passenger', 'cruise', 'said', 'japan', 'diamond_princess', 'board', 'crew', 'case', 'tested'], ['market', 'china', 'stock', 'said', 'economy', 'year', 'percent', 'growth', 'company', 'impact'], ['said', 'china', 'case', 'health', 'virus', 'people', 'country', 'outbreak', 'new', 'wuhan']]"
1,4,0.6089244346723088,0.0037409716702975744,"[['case', 'china', 'said', 'virus', 'people', 'health', 'new', 'death', 'wuhan', 'country'], ['market', 'stock', 'china', 'economy', 'percent', 'growth', 'said', 'year', 'impact', 'global'], ['said', 'china', 'health', 'people', 'virus', 'case', 'outbreak', 'country', 'chinese', 'government'], ['ship', 'passenger', 'cruise', 'japan', 'diamond_princess', 'said', 'board', 'crew', 'tested', 'japanese']]"
2,5,0.6144577775394071,0.0024752410797979243,"[['percent', 'index', 'stock', 'market', 'point', 'close', 'price', 'lower', 'dollar', 'china'], ['market', 'china', 'stock', 'economy', 'said', 'growth', 'year', 'per_cent', 'impact', 'global'], ['said', 'china', 'health', 'people', 'virus', 'case', 'outbreak', 'country', 'chinese', 'government'], ['ship', 'passenger', 'cruise', 'japan', 'diamond_princess', 'said', 'board', 'crew', 'tested', 'japanese'], ['case', 'china', 'said', 'virus', 'people', 'health', 'new', 'death', 'wuhan', 'country']]"
3,6,0.6082302550428585,0.002468401987655786,"[['china', 'said', 'company', 'year', 'outbreak', 'event', 'chinese', 'business', 'impact', 'travel'], ['market', 'stock', 'economy', 'growth', 'investor', 'per_cent', 'index', 'economic', 'china', 'global'], ['said', 'health', 'china', 'people', 'virus', 'case', 'patient', 'hospital', 'disease', 'country'], ['ship', 'passenger', 'cruise', 'japan', 'diamond_princess', 'said', 'board', 'crew', 'tested', 'japanese'], ['case', 'china', 'said', 'virus', 'people', 'new', 'health', 'death', 'wuhan', 'country'], ['percent', 'index', 'stock', 'market', 'point', 'close', 'price', 'lower', 'dollar', 'china']]"
4,7,0.6054459166698175,0.003291621958478532,"[['ship', 'passenger', 'cruise', 'diamond_princess', 'japan', 'said', 'board', 'crew', 'tested', 'japanese'], ['market', 'china', 'stock', 'economy', 'said', 'growth', 'year', 'per_cent', 'impact', 'company'], ['said', 'health', 'virus', 'people', 'china', 'case', 'patient', 'disease', 'outbreak', 'hospital'], ['flight', 'china', 'said', 'wuhan', 'student', 'health', 'chinese', 'travel', 'country', 'people'], ['case', 'china', 'said', 'virus', 'people', 'new', 'death', 'health', 'country', 'reported'], ['percent', 'index', 'stock', 'market', 'point', 'close', 'price', 'lower', 'dollar', 'china'], ['event', 'game', 'said', 'tokyo', 'postponed', 'olympics', 'scheduled', 'sport', 'world', 'due']]"
5,8,0.596185598550195,0.0035480985251532078,"[['animal', 'bat', 'pet', 'dog', 'pangolin', 'wildlife', 'human', 'market', 'virus', 'china'], ['market', 'stock', 'percent', 'china', 'economy', 'growth', 'year', 'said', 'index', 'global'], ['virus', 'trump', 'said', 'health', 'vaccine', 'people', 'disease', 'case', 'cdc', 'china'], ['hospital', 'patient', 'case', 'said', 'health', 'virus', 'people', 'wuhan', 'tested', 'italy'], ['ship', 'passenger', 'cruise', 'japan', 'diamond_princess', 'said', 'board', 'crew', 'japanese', 'tested'], ['china', 'case', 'said', 'new', 'death', 'virus', 'hubei', 'people', 'reported', 'health'], ['said', 'china', 'health', 'people', 'chinese', 'virus', 'outbreak', 'country', 'case', 'government'], ['iran', 'iranian', 'qom', 'tehran', 'case', 'said', 'health', 'country', 'ministry', 'virus']]"
6,9,0.6167771471501089,0.004212042270370707,"[['china', 'said', 'economy', 'growth', 'company', 'year', 'impact', 'business', 'quarter', 'economic'], ['market', 'stock', 'percent', 'index', 'investor', 'point', 'price', 'fell', 'per_cent', 'oil'], ['trump', 'virus', 'said', 'vaccine', 'health', 'people', 'disease', 'case', 'cdc', 'china'], ['hospital', 'patient', 'case', 'said', 'health', 'virus', 'people', 'italy', 'tested', 'wuhan'], ['ship', 'passenger', 'cruise', 'japan', 'diamond_princess', 'said', 'board', 'crew', 'japanese', 'tested'], ['china', 'case', 'said', 'new', 'death', 'virus', 'hubei', 'people', 'health', 'reported'], ['said', 'china', 'health', 'people', 'chinese', 'virus', 'country', 'case', 'outbreak', 'government'], ['iran', 'iranian', 'qom', 'tehran', 'case', 'said', 'health', 'country', 'ministry', 'virus'], ['animal', 'bat', 'pet', 'dog', 'pangolin', 'wildlife', 'human', 'market', 'virus', 'china']]"
7,10,0.6317316157855939,0.005367117335345094,"[['trump', 'president', 'administration', 'white_house', 'said', 'democrat', 'response', 'penny', 'american', 'state'], ['market', 'stock', 'percent', 'index', 'investor', 'point', 'price', 'fell', 'per_cent', 'oil'], ['virus', 'vaccine', 'people', 'disease', 'case', 'said', 'health', 'china', 'sars', 'outbreak'], ['patient', 'hospital', 'case', 'said', 'health', 'virus', 'people', 'tested', 'wuhan', 'italy'], ['ship', 'passenger', 'cruise', 'japan', 'diamond_princess', 'said', 'board', 'crew', 'japanese', 'tested'], ['china', 'case', 'said', 'new', 'death', 'virus', 'hubei', 'people', 'reported', 'health'], ['said', 'china', 'health', 'people', 'chinese', 'virus', 'country', 'case', 'outbreak', 'government'], ['iran', 'iranian', 'qom', 'tehran', 'case', 'said', 'health', 'country', 'ministry', 'virus'], ['animal', 'bat', 'pet', 'dog', 'pangolin', 'wildlife', 'human', 'market', 'china', 'virus'], ['china', 'said', 'economy', 'growth', 'company', 'year', 'impact', 'business', 'quarter', 'economic']]"
8,11,0.6056262830735728,0.005358579341419846,"[['korea', 'south', 'italy', 'case', 'daegu', 'said', 'country', 'virus', 'korean', 'reported'], ['market', 'stock', 'percent', 'index', 'investor', 'point', 'price', 'fell', 'per_cent', 'oil'], ['trump', 'virus', 'vaccine', 'said', 'people', 'health', 'disease', 'case', 'cdc', 'spread'], ['patient', 'hospital', 'said', 'case', 'health', 'virus', 'people', 'wuhan', 'china', 'tested'], ['ship', 'passenger', 'cruise', 'japan', 'diamond_princess', 'said', 'board', 'crew', 'japanese', 'tested'], ['china', 'case', 'said', 'hubei', 'death', 'new', 'wuhan', 'virus', 'people', 'health'], ['said', 'china', 'health', 'people', 'chinese', 'virus', 'country', 'outbreak', 'case', 'government'], ['iran', 'iranian', 'qom', 'tehran', 'case', 'said', 'health', 'country', 'ministry', 'virus'], ['animal', 'bat', 'pet', 'dog', 'pangolin', 'human', 'wildlife', 'market', 'virus', 'china'], ['china', 'said', 'economy', 'growth', 'company', 'year', 'impact', 'quarter', 'business', 'economic'], ['singapore', 'said', 'case', 'singaporean', 'moh', 'feb', 'ministry', 'china', 'year', 'also']]"
9,12,0.617460787290739,0.00650486775266895,"[['trump', 'president', 'administration', 'white_house', 'said', 'democrat', 'response', 'penny', 'american', 'state'], ['market', 'stock', 'percent', 'index', 'investor', 'point', 'price', 'fell', 'per_cent', 'oil'], ['virus', 'vaccine', 'people', 'disease', 'case', 'said', 'china', 'health', 'sars', 'spread'], ['hospital', 'patient', 'said', 'health', 'case', 'virus', 'people', 'wuhan', 'china', 'tested'], ['ship', 'passenger', 'cruise', 'japan', 'diamond_princess', 'said', 'board', 'crew', 'japanese', 'tested'], ['china', 'case', 'said', 'hubei', 'new', 'death', 'wuhan', 'virus', 'people', 'health'], ['said', 'china', 'health', 'people', 'chinese', 'virus', 'country', 'outbreak', 'government', 'case'], ['iran', 'iranian', 'qom', 'tehran', 'case', 'said', 'health', 'country', 'ministry', 'virus'], ['animal', 'pet', 'bat', 'dog', 'pangolin', 'wildlife', 'human', 'market', 'china', 'virus'], ['china', 'said', 'economy', 'growth', 'company', 'year', 'impact', 'quarter', 'business', 'economic'], ['singapore', 'said', 'case', 'singaporean', 'moh', 'feb', 'ministry', 'china', 'year', 'also'], ['korea', 'south', 'case', 'italy', 'daegu', 'said', 'country', 'virus', 'korean', 'reported']]"
