,Topics,Coherence,Silhouette,Top_terms
0,3,0.5849236638139019,0.0047685855164827685,"[['ship', 'passenger', 'cruise', 'said', 'japan', 'diamond_princess', 'quarantine', 'board', 'crew', 'virus'], ['said', 'coronavirus', 'china', 'case', 'health', 'virus', 'people', 'country', 'outbreak', 'new'], ['market', 'china', 'stock', 'said', 'economy', 'year', 'percent', 'coronavirus', 'growth', 'company']]"
1,4,0.559604101638606,0.0023643613020683154,"[['market', 'stock', 'china', 'economy', 'said', 'percent', 'growth', 'year', 'coronavirus', 'impact'], ['filipino', 'philippine', 'doh', 'said', 'ban', 'ncov', 'dfa', 'health', 'manila', 'department'], ['said', 'coronavirus', 'china', 'health', 'case', 'virus', 'people', 'country', 'outbreak', 'new'], ['ship', 'passenger', 'said', 'case', 'cruise', 'china', 'virus', 'people', 'coronavirus', 'japan']]"
2,5,0.6021816936158133,0.003915843783599898,"[['market', 'stock', 'china', 'economy', 'percent', 'growth', 'said', 'year', 'coronavirus', 'impact'], ['filipino', 'philippine', 'doh', 'said', 'ban', 'ncov', 'dfa', 'department', 'health', 'manila'], ['coronavirus', 'said', 'china', 'health', 'people', 'virus', 'case', 'outbreak', 'country', 'chinese'], ['case', 'china', 'said', 'virus', 'coronavirus', 'people', 'health', 'new', 'death', 'wuhan'], ['ship', 'passenger', 'cruise', 'japan', 'diamond_princess', 'said', 'quarantine', 'board', 'crew', 'tested']]"
3,6,0.5829148891832311,0.002333401850035049,"[['case', 'china', 'said', 'virus', 'new', 'death', 'people', 'coronavirus', 'wuhan', 'health'], ['filipino', 'philippine', 'doh', 'said', 'ban', 'dfa', 'ncov', 'manila', 'health', 'department'], ['case', 'said', 'health', 'coronavirus', 'patient', 'virus', 'hospital', 'people', 'china', 'disease'], ['coronavirus', 'said', 'china', 'people', 'health', 'virus', 'chinese', 'outbreak', 'country', 'government'], ['ship', 'passenger', 'cruise', 'japan', 'diamond_princess', 'said', 'quarantine', 'board', 'crew', 'japanese'], ['market', 'stock', 'china', 'percent', 'economy', 'growth', 'year', 'said', 'coronavirus', 'index']]"
4,7,0.5904166948020143,0.003111057343779623,"[['event', 'game', 'tokyo', 'said', 'postponed', 'coronavirus', 'olympics', 'scheduled', 'world', 'sport'], ['filipino', 'philippine', 'doh', 'said', 'ban', 'dfa', 'ncov', 'department', 'health', 'manila'], ['case', 'said', 'health', 'coronavirus', 'patient', 'virus', 'hospital', 'people', 'china', 'symptom'], ['coronavirus', 'said', 'china', 'people', 'health', 'virus', 'chinese', 'outbreak', 'country', 'government'], ['ship', 'passenger', 'cruise', 'japan', 'diamond_princess', 'said', 'quarantine', 'board', 'crew', 'japanese'], ['market', 'stock', 'china', 'percent', 'economy', 'growth', 'year', 'said', 'coronavirus', 'global'], ['case', 'china', 'virus', 'said', 'new', 'death', 'people', 'coronavirus', 'wuhan', 'health']]"
5,8,0.6011932529206931,0.00459733058862272,"[['iran', 'iranian', 'qom', 'tehran', 'case', 'said', 'coronavirus', 'health', 'country', 'ministry'], ['filipino', 'philippine', 'doh', 'said', 'ban', 'ncov', 'dfa', 'health', 'department', 'manila'], ['ship', 'passenger', 'cruise', 'japan', 'diamond_princess', 'said', 'quarantine', 'board', 'crew', 'japanese'], ['said', 'coronavirus', 'china', 'health', 'people', 'virus', 'case', 'outbreak', 'chinese', 'country'], ['market', 'stock', 'china', 'percent', 'economy', 'growth', 'year', 'said', 'coronavirus', 'impact'], ['china', 'case', 'virus', 'said', 'wuhan', 'people', 'coronavirus', 'health', 'new', 'death'], ['israel', 'israeli', 'ministry', 'ship', 'said', 'quarantine', 'japan', 'sheba', 'health', 'passenger'], ['korea', 'case', 'italy', 'south', 'said', 'daegu', 'country', 'virus', 'coronavirus', 'china']]"
6,9,0.5969938734725543,0.0035169931522438273,"[['china', 'case', 'virus', 'said', 'new', 'death', 'people', 'hubei', 'wuhan', 'coronavirus'], ['filipino', 'philippine', 'doh', 'said', 'ban', 'ncov', 'dfa', 'department', 'health', 'manila'], ['ship', 'passenger', 'cruise', 'japan', 'diamond_princess', 'said', 'board', 'quarantine', 'crew', 'japanese'], ['coronavirus', 'said', 'china', 'people', 'health', 'virus', 'chinese', 'outbreak', 'country', 'government'], ['market', 'stock', 'percent', 'china', 'economy', 'growth', 'year', 'said', 'coronavirus', 'index'], ['case', 'said', 'coronavirus', 'patient', 'health', 'hospital', 'virus', 'people', 'china', 'symptom'], ['israeli', 'israel', 'ministry', 'ship', 'said', 'quarantine', 'japan', 'sheba', 'health', 'passenger'], ['korea', 'south', 'daegu', 'korean', 'case', 'church', 'said', 'north', 'country', 'virus'], ['iran', 'iranian', 'qom', 'tehran', 'case', 'said', 'coronavirus', 'health', 'country', 'ministry']]"
7,10,0.5819304177669178,0.00410074401664577,"[['student', 'school', 'said', 'university', 'china', 'coronavirus', 'pakistani', 'chinese', 'wuhan', 'government'], ['filipino', 'philippine', 'doh', 'said', 'ban', 'ncov', 'dfa', 'department', 'health', 'manila'], ['ship', 'passenger', 'cruise', 'japan', 'diamond_princess', 'said', 'board', 'quarantine', 'crew', 'japanese'], ['coronavirus', 'said', 'china', 'people', 'health', 'virus', 'outbreak', 'chinese', 'country', 'also'], ['market', 'stock', 'percent', 'china', 'economy', 'growth', 'year', 'said', 'coronavirus', 'index'], ['case', 'said', 'coronavirus', 'health', 'patient', 'hospital', 'virus', 'people', 'china', 'wuhan'], ['israeli', 'israel', 'ministry', 'ship', 'said', 'quarantine', 'japan', 'sheba', 'health', 'passenger'], ['korea', 'south', 'daegu', 'korean', 'case', 'church', 'said', 'north', 'country', 'virus'], ['iran', 'iranian', 'qom', 'tehran', 'case', 'said', 'coronavirus', 'health', 'country', 'ministry'], ['china', 'case', 'virus', 'said', 'new', 'death', 'people', 'hubei', 'wuhan', 'coronavirus']]"
8,11,0.5952409175722738,0.0046735701805491695,"[['china', 'said', 'economy', 'growth', 'year', 'impact', 'company', 'coronavirus', 'quarter', 'global'], ['filipino', 'philippine', 'doh', 'said', 'ban', 'ncov', 'dfa', 'department', 'health', 'manila'], ['ship', 'passenger', 'cruise', 'japan', 'diamond_princess', 'said', 'quarantine', 'board', 'crew', 'japanese'], ['coronavirus', 'said', 'china', 'health', 'people', 'virus', 'outbreak', 'chinese', 'country', 'case'], ['market', 'stock', 'percent', 'index', 'investor', 'point', 'fell', 'per_cent', 'coronavirus', 'share'], ['case', 'said', 'patient', 'hospital', 'coronavirus', 'health', 'virus', 'people', 'china', 'wuhan'], ['israeli', 'israel', 'ministry', 'ship', 'said', 'quarantine', 'japan', 'sheba', 'health', 'passenger'], ['korea', 'south', 'daegu', 'korean', 'case', 'church', 'said', 'north', 'country', 'virus'], ['iran', 'iranian', 'qom', 'tehran', 'case', 'said', 'coronavirus', 'health', 'country', 'ministry'], ['china', 'case', 'virus', 'said', 'new', 'death', 'people', 'hubei', 'wuhan', 'coronavirus'], ['student', 'school', 'said', 'university', 'china', 'coronavirus', 'pakistani', 'chinese', 'wuhan', 'government']]"
9,12,0.6028246352537191,0.006056186021620088,"[['trump', 'president', 'administration', 'white_house', 'coronavirus', 'said', 'democrat', 'response', 'penny', 'american'], ['filipino', 'philippine', 'doh', 'said', 'ban', 'dfa', 'ncov', 'health', 'department', 'manila'], ['ship', 'passenger', 'cruise', 'japan', 'diamond_princess', 'said', 'quarantine', 'board', 'crew', 'japanese'], ['coronavirus', 'said', 'china', 'people', 'health', 'virus', 'chinese', 'outbreak', 'case', 'country'], ['market', 'stock', 'percent', 'index', 'investor', 'point', 'fell', 'per_cent', 'coronavirus', 'share'], ['case', 'patient', 'said', 'hospital', 'coronavirus', 'health', 'virus', 'people', 'china', 'wuhan'], ['israeli', 'israel', 'ministry', 'ship', 'said', 'quarantine', 'japan', 'sheba', 'health', 'passenger'], ['korea', 'south', 'daegu', 'korean', 'case', 'church', 'said', 'north', 'country', 'virus'], ['iran', 'iranian', 'qom', 'tehran', 'case', 'said', 'coronavirus', 'health', 'country', 'ministry'], ['china', 'case', 'virus', 'said', 'new', 'death', 'people', 'hubei', 'wuhan', 'coronavirus'], ['student', 'school', 'said', 'university', 'china', 'coronavirus', 'pakistani', 'chinese', 'wuhan', 'government'], ['china', 'said', 'economy', 'growth', 'year', 'impact', 'company', 'coronavirus', 'quarter', 'market']]"
