,Topics,Coherence,Silhouette,Top_terms
0,3,0.5381171997647295,0.0031427999817122947,"[['market', 'stock', 'china', 'economy', 'said', 'percent', 'growth', 'year', 'per', 'cent'], ['said', 'china', 'health', 'case', 'virus', 'people', 'country', 'outbreak', 'new', 'chinese'], ['ship', 'passenger', 'said', 'cruise', 'case', 'china', 'virus', 'people', 'japan', 'health']]"
1,4,0.6132173160672681,0.0012012705703930168,"[['said', 'china', 'virus', 'health', 'people', 'outbreak', 'case', 'chinese', 'year', 'market'], ['philippine', 'filipino', 'doh', 'manila', 'said', 'ban', 'health', 'duque', 'china', 'dfa'], ['case', 'said', 'ship', 'china', 'virus', 'passenger', 'people', 'health', 'cruise', 'new'], ['getty', 'afp', 'via', 'epa', 'image', 'wuhan', 'reuters', 'wearing', 'mask', 'protective']]"
2,5,0.6557398767629892,0.004304826216804468,"[['case', 'said', 'china', 'virus', 'health', 'people', 'new', 'country', 'death', 'patient'], ['philippine', 'filipino', 'doh', 'manila', 'said', 'ban', 'health', 'duque', 'china', 'dfa'], ['ship', 'passenger', 'cruise', 'princess', 'japan', 'diamond', 'said', 'board', 'crew', 'tested'], ['getty', 'afp', 'via', 'epa', 'image', 'wuhan', 'reuters', 'wearing', 'mask', 'protective'], ['said', 'china', 'virus', 'market', 'outbreak', 'health', 'year', 'people', 'chinese', 'new']]"
3,6,0.6700394780003524,0.005217003592590622,"[['ship', 'passenger', 'cruise', 'princess', 'japan', 'diamond', 'said', 'board', 'crew', 'japanese'], ['filipino', 'philippine', 'doh', 'manila', 'said', 'ban', 'duque', 'health', 'dfa', 'department'], ['case', 'china', 'said', 'virus', 'people', 'health', 'new', 'death', 'country', 'reported'], ['getty', 'afp', 'via', 'epa', 'image', 'wuhan', 'reuters', 'wearing', 'mask', 'protective'], ['market', 'stock', 'china', 'percent', 'economy', 'growth', 'per', 'said', 'year', 'cent'], ['said', 'china', 'health', 'people', 'virus', 'case', 'outbreak', 'country', 'chinese', 'disease']]"
4,7,0.6531009978118446,0.005755018930443912,"[['said', 'china', 'health', 'people', 'virus', 'case', 'outbreak', 'chinese', 'country', 'also'], ['filipino', 'philippine', 'doh', 'manila', 'said', 'ban', 'duque', 'health', 'dfa', 'department'], ['iran', 'case', 'korea', 'said', 'south', 'country', 'italy', 'virus', 'health', 'reported'], ['getty', 'afp', 'via', 'epa', 'image', 'wuhan', 'reuters', 'wearing', 'mask', 'protective'], ['market', 'stock', 'china', 'percent', 'economy', 'growth', 'per', 'year', 'said', 'cent'], ['china', 'case', 'virus', 'said', 'people', 'wuhan', 'health', 'new', 'death', 'hubei'], ['ship', 'passenger', 'cruise', 'princess', 'japan', 'diamond', 'said', 'board', 'crew', 'japanese']]"
5,8,0.58416344073,0.005570597947710649,"[['italy', 'getty', 'uk', 'case', 'hospital', 'afp', 'via', 'said', 'people', 'virus'], ['filipino', 'philippine', 'doh', 'manila', 'said', 'ban', 'duque', 'dfa', 'health', 'department'], ['iran', 'iranian', 'qom', 'tehran', 'case', 'said', 'health', 'country', 'ministry', 'virus'], ['said', 'china', 'health', 'people', 'case', 'chinese', 'virus', 'country', 'outbreak', 'government'], ['ship', 'passenger', 'cruise', 'princess', 'japan', 'diamond', 'said', 'board', 'crew', 'japanese'], ['virus', 'trump', 'said', 'health', 'people', 'disease', 'vaccine', 'case', 'cdc', 'china'], ['case', 'china', 'said', 'new', 'virus', 'death', 'hubei', 'people', 'health', 'wuhan'], ['market', 'stock', 'china', 'percent', 'economy', 'growth', 'per', 'year', 'cent', 'said']]"
6,9,0.6061877357306618,0.005704573066805179,"[['china', 'case', 'said', 'new', 'virus', 'death', 'hubei', 'people', 'health', 'reported'], ['filipino', 'philippine', 'doh', 'manila', 'said', 'ban', 'duque', 'dfa', 'health', 'department'], ['iran', 'iranian', 'qom', 'tehran', 'case', 'said', 'health', 'country', 'ministry', 'virus'], ['china', 'said', 'company', 'economy', 'year', 'impact', 'growth', 'business', 'quarter', 'outbreak'], ['ship', 'passenger', 'cruise', 'princess', 'japan', 'diamond', 'said', 'board', 'crew', 'japanese'], ['trump', 'virus', 'said', 'people', 'health', 'vaccine', 'disease', 'case', 'cdc', 'china'], ['said', 'china', 'health', 'case', 'people', 'virus', 'chinese', 'country', 'wuhan', 'outbreak'], ['market', 'stock', 'percent', 'index', 'investor', 'per', 'point', 'cent', 'oil', 'price'], ['italy', 'getty', 'uk', 'case', 'afp', 'hospital', 'via', 'said', 'people', 'virus']]"
7,10,0.5997555656023896,0.005600031969347427,"[['china', 'case', 'said', 'death', 'new', 'virus', 'hubei', 'people', 'health', 'reported'], ['filipino', 'philippine', 'doh', 'manila', 'said', 'ban', 'duque', 'dfa', 'health', 'department'], ['iran', 'iranian', 'qom', 'tehran', 'case', 'said', 'health', 'country', 'ministry', 'virus'], ['china', 'said', 'economy', 'growth', 'company', 'year', 'impact', 'quarter', 'business', 'economic'], ['ship', 'passenger', 'cruise', 'princess', 'japan', 'diamond', 'said', 'board', 'crew', 'japanese'], ['virus', 'vaccine', 'people', 'animal', 'disease', 'sars', 'case', 'said', 'china', 'flu'], ['said', 'health', 'case', 'china', 'patient', 'hospital', 'virus', 'people', 'country', 'wuhan'], ['market', 'stock', 'percent', 'index', 'investor', 'per', 'point', 'cent', 'price', 'oil'], ['italy', 'getty', 'uk', 'afp', 'case', 'via', 'hospital', 'said', 'people', 'virus'], ['said', 'china', 'people', 'trump', 'virus', 'health', 'outbreak', 'chinese', 'government', 'country']]"
8,11,0.6238228872512717,0.007932997895631302,"[['trump', 'president', 'administration', 'house', 'penny', 'white', 'democrat', 'said', 'response', 'american'], ['filipino', 'philippine', 'doh', 'manila', 'said', 'ban', 'duque', 'dfa', 'health', 'department'], ['iran', 'iranian', 'qom', 'tehran', 'case', 'said', 'health', 'country', 'ministry', 'virus'], ['china', 'said', 'economy', 'growth', 'year', 'impact', 'company', 'quarter', 'economic', 'business'], ['ship', 'passenger', 'cruise', 'princess', 'japan', 'diamond', 'said', 'board', 'crew', 'japanese'], ['virus', 'vaccine', 'animal', 'people', 'sars', 'disease', 'case', 'human', 'china', 'scientist'], ['said', 'china', 'people', 'chinese', 'virus', 'outbreak', 'health', 'country', 'government', 'case'], ['market', 'stock', 'percent', 'index', 'investor', 'per', 'point', 'cent', 'oil', 'price'], ['italy', 'getty', 'uk', 'afp', 'case', 'via', 'hospital', 'said', 'people', 'virus'], ['said', 'health', 'case', 'china', 'patient', 'hospital', 'virus', 'people', 'wuhan', 'state'], ['case', 'china', 'said', 'new', 'death', 'virus', 'hubei', 'people', 'reported', 'health']]"
9,12,0.6231189838310622,0.008606280796441986,"[['market', 'stock', 'percent', 'index', 'investor', 'per', 'point', 'cent', 'oil', 'fell'], ['filipino', 'philippine', 'doh', 'manila', 'said', 'ban', 'dfa', 'duque', 'health', 'department'], ['iran', 'iranian', 'qom', 'tehran', 'case', 'said', 'health', 'country', 'ministry', 'virus'], ['apple', 'company', 'event', 'mwc', 'gsma', 'iphone', 'barcelona', 'china', 'said', 'mobile'], ['ship', 'passenger', 'cruise', 'princess', 'japan', 'diamond', 'said', 'board', 'crew', 'japanese'], ['virus', 'vaccine', 'animal', 'people', 'sars', 'disease', 'case', 'human', 'china', 'scientist'], ['said', 'china', 'people', 'chinese', 'virus', 'outbreak', 'health', 'country', 'government', 'case'], ['china', 'economy', 'growth', 'said', 'year', 'impact', 'market', 'economic', 'company', 'quarter'], ['italy', 'getty', 'uk', 'afp', 'case', 'via', 'hospital', 'said', 'people', 'virus'], ['said', 'health', 'case', 'china', 'patient', 'hospital', 'virus', 'people', 'wuhan', 'state'], ['case', 'china', 'said', 'death', 'new', 'virus', 'hubei', 'people', 'reported', 'health'], ['trump', 'president', 'administration', 'house', 'penny', 'white', 'democrat', 'said', 'response', 'american']]"
