,Topics,Coherence,Silhouette,Top_terms
0,3,0.6011535723278251,0.00948068369216226,"[['trump', 'administration', 'president', 'white_house', 'said', 'democrat', 'response', 'american', 'state', 'penny'], ['market', 'china', 'said', 'stock', 'year', 'economy', 'company', 'percent', 'growth', 'impact'], ['said', 'case', 'china', 'virus', 'health', 'people', 'ship', 'new', 'country', 'passenger']]"
1,4,0.6324441189297074,0.005770835845034509,"[['ship', 'passenger', 'cruise', 'said', 'japan', 'diamond_princess', 'board', 'crew', 'virus', 'case'], ['market', 'china', 'stock', 'said', 'economy', 'year', 'percent', 'growth', 'company', 'impact'], ['said', 'china', 'case', 'virus', 'health', 'people', 'country', 'new', 'outbreak', 'wuhan'], ['trump', 'administration', 'president', 'white_house', 'said', 'democrat', 'response', 'american', 'penny', 'state']]"
2,5,0.6180754178143651,0.003926090560374755,"[['per_cent', 'market', 'growth', 'economy', 'said', 'year', 'stock', 'china', 'point', 'impact'], ['market', 'china', 'stock', 'said', 'percent', 'economy', 'year', 'company', 'growth', 'impact'], ['said', 'china', 'case', 'virus', 'health', 'people', 'country', 'new', 'outbreak', 'wuhan'], ['trump', 'administration', 'president', 'white_house', 'said', 'democrat', 'response', 'american', 'penny', 'state'], ['ship', 'passenger', 'cruise', 'said', 'japan', 'diamond_princess', 'board', 'crew', 'people', 'virus']]"
3,6,0.6253897007568732,0.0032131655652856313,"[['market', 'china', 'stock', 'percent', 'economy', 'said', 'year', 'growth', 'company', 'impact'], ['said', 'china', 'health', 'people', 'virus', 'case', 'chinese', 'outbreak', 'country', 'wuhan'], ['case', 'china', 'said', 'virus', 'people', 'health', 'new', 'death', 'country', 'reported'], ['trump', 'administration', 'president', 'white_house', 'said', 'democrat', 'response', 'american', 'penny', 'state'], ['ship', 'passenger', 'cruise', 'diamond_princess', 'japan', 'said', 'board', 'crew', 'tested', 'japanese'], ['per_cent', 'market', 'growth', 'economy', 'said', 'year', 'stock', 'point', 'china', 'impact']]"
4,7,0.6446749289506146,0.003581423591404966,"[['said', 'health', 'china', 'people', 'virus', 'case', 'country', 'patient', 'outbreak', 'chinese'], ['china', 'said', 'company', 'year', 'impact', 'economy', 'business', 'outbreak', 'growth', 'chinese'], ['case', 'china', 'said', 'virus', 'people', 'health', 'new', 'death', 'country', 'reported'], ['trump', 'administration', 'president', 'white_house', 'said', 'democrat', 'response', 'american', 'state', 'penny'], ['ship', 'passenger', 'cruise', 'diamond_princess', 'japan', 'said', 'board', 'crew', 'tested', 'japanese'], ['per_cent', 'market', 'growth', 'economy', 'stock', 'year', 'point', 'said', 'global', 'index'], ['market', 'stock', 'percent', 'investor', 'index', 'price', 'point', 'oil', 'fell', 'year']]"
5,8,0.6023654306622277,0.0016118418567110011,"[['flight', 'china', 'said', 'student', 'wuhan', 'chinese', 'airline', 'travel', 'health', 'passenger'], ['china', 'said', 'economy', 'growth', 'company', 'impact', 'year', 'quarter', 'business', 'economic'], ['china', 'case', 'said', 'hubei', 'death', 'new', 'wuhan', 'virus', 'people', 'health'], ['market', 'stock', 'percent', 'investor', 'index', 'point', 'price', 'fell', 'per_cent', 'oil'], ['iran', 'case', 'virus', 'said', 'korea', 'south', 'country', 'people', 'iranian', 'death'], ['ship', 'passenger', 'cruise', 'diamond_princess', 'japan', 'said', 'board', 'crew', 'tested', 'japanese'], ['said', 'china', 'people', 'health', 'virus', 'outbreak', 'chinese', 'trump', 'case', 'country'], ['case', 'said', 'patient', 'health', 'virus', 'hospital', 'people', 'china', 'symptom', 'confirmed']]"
6,9,0.6022361116567368,0.0022039088098260344,"[['flight', 'airline', 'china', 'said', 'travel', 'passenger', 'airport', 'air', 'wuhan', 'plane'], ['china', 'said', 'economy', 'growth', 'company', 'impact', 'year', 'quarter', 'economic', 'business'], ['china', 'case', 'said', 'hubei', 'death', 'new', 'wuhan', 'virus', 'people', 'health'], ['market', 'stock', 'percent', 'investor', 'index', 'point', 'price', 'fell', 'per_cent', 'oil'], ['iran', 'case', 'virus', 'said', 'korea', 'south', 'country', 'people', 'iranian', 'death'], ['ship', 'passenger', 'cruise', 'japan', 'diamond_princess', 'said', 'board', 'crew', 'tested', 'japanese'], ['said', 'china', 'people', 'health', 'virus', 'outbreak', 'chinese', 'country', 'case', 'trump'], ['case', 'said', 'health', 'patient', 'virus', 'hospital', 'people', 'china', 'symptom', 'disease'], ['student', 'indian', 'india', 'china', 'said', 'wuhan', 'university', 'chinese', 'kerala', 'flight']]"
7,10,0.6147836686031202,0.0036121000402742523,"[['market', 'stock', 'percent', 'investor', 'index', 'point', 'price', 'fell', 'per_cent', 'oil'], ['china', 'said', 'economy', 'growth', 'company', 'impact', 'year', 'quarter', 'economic', 'business'], ['china', 'case', 'said', 'hubei', 'death', 'new', 'wuhan', 'virus', 'people', 'health'], ['trump', 'administration', 'president', 'white_house', 'said', 'democrat', 'response', 'american', 'penny', 'health'], ['iran', 'case', 'virus', 'said', 'south', 'korea', 'country', 'people', 'iranian', 'death'], ['ship', 'passenger', 'cruise', 'japan', 'diamond_princess', 'said', 'board', 'crew', 'tested', 'japanese'], ['said', 'china', 'people', 'health', 'virus', 'chinese', 'outbreak', 'country', 'case', 'also'], ['case', 'said', 'patient', 'health', 'virus', 'hospital', 'people', 'china', 'symptom', 'confirmed'], ['student', 'indian', 'india', 'china', 'said', 'wuhan', 'university', 'chinese', 'kerala', 'flight'], ['flight', 'airline', 'china', 'said', 'travel', 'passenger', 'airport', 'air', 'canadian', 'plane']]"
8,11,0.6146588675972319,0.004798667744056726,"[['event', 'game', 'said', 'postponed', 'scheduled', 'due', 'world', 'tokyo', 'sport', 'march'], ['china', 'said', 'economy', 'growth', 'company', 'year', 'impact', 'quarter', 'economic', 'business'], ['china', 'case', 'said', 'hubei', 'death', 'new', 'wuhan', 'virus', 'people', 'health'], ['trump', 'administration', 'president', 'white_house', 'said', 'democrat', 'response', 'american', 'penny', 'health'], ['iran', 'case', 'korea', 'south', 'said', 'country', 'iranian', 'virus', 'death', 'health'], ['ship', 'passenger', 'cruise', 'diamond_princess', 'japan', 'said', 'board', 'crew', 'tested', 'japanese'], ['said', 'china', 'people', 'health', 'virus', 'chinese', 'outbreak', 'case', 'country', 'government'], ['case', 'virus', 'said', 'patient', 'health', 'people', 'hospital', 'china', 'disease', 'symptom'], ['student', 'indian', 'india', 'china', 'said', 'wuhan', 'university', 'kerala', 'chinese', 'flight'], ['flight', 'airline', 'china', 'said', 'travel', 'passenger', 'airport', 'air', 'canadian', 'wuhan'], ['market', 'stock', 'percent', 'investor', 'index', 'point', 'price', 'fell', 'per_cent', 'oil']]"
9,12,0.6196979233730033,0.004934399867018308,"[['apple', 'company', 'china', 'production', 'said', 'event', 'factory', 'iphone', 'gsma', 'mobile'], ['economy', 'growth', 'china', 'year', 'said', 'impact', 'economic', 'bank', 'market', 'global'], ['china', 'case', 'said', 'hubei', 'death', 'new', 'wuhan', 'virus', 'people', 'health'], ['trump', 'administration', 'president', 'white_house', 'said', 'democrat', 'response', 'american', 'penny', 'health'], ['iran', 'case', 'virus', 'said', 'korea', 'south', 'country', 'people', 'iranian', 'death'], ['ship', 'passenger', 'cruise', 'diamond_princess', 'japan', 'said', 'board', 'crew', 'tested', 'japanese'], ['case', 'said', 'patient', 'health', 'hospital', 'virus', 'people', 'symptom', 'confirmed', 'china'], ['said', 'china', 'people', 'health', 'virus', 'chinese', 'outbreak', 'case', 'country', 'disease'], ['student', 'indian', 'india', 'china', 'said', 'wuhan', 'university', 'chinese', 'flight', 'kerala'], ['flight', 'airline', 'china', 'said', 'travel', 'passenger', 'airport', 'air', 'wuhan', 'plane'], ['market', 'stock', 'percent', 'investor', 'index', 'point', 'price', 'fell', 'per_cent', 'oil'], ['game', 'event', 'postponed', 'tokyo', 'sport', 'said', 'scheduled', 'race', 'olympics', 'team']]"
