,Num_of_components,Explained_variance,Terms
0,3,0.3778114370385959,"[[('coronavirus', 0.2), ('virus', 0.2), ('people', 0.2), ('health', 0.2), ('outbreak', 0.2), ('spread', 0.2), ('government', 0.2), ('infection', 0.2), ('travel', 0.2), ('epidemic', 0.2), ('emergency', 0.2)], [('flight', -0.2), ('impact', -0.2), ('business', -0.2), ('economy', -0.2), ('economic', -0.2), ('pandemic', 0.3), ('vaccine', 0.3), ('restriction', -0.2), ('care', 0.2), ('research', 0.2), ('study', 0.3), ('cost', -0.2), ('drug', 0.3)], [('passenger', -0.2), ('market', 0.2), ('impact', 0.3), ('economy', 0.3), ('stock', 0.2), ('economic', 0.3), ('airport', -0.2), ('financial', 0.2), ('research', 0.2), ('cost', 0.3), ('drug', 0.2), ('control_prevention', -0.2)]]"
1,4,0.42098064475485314,"[[('coronavirus', 0.2), ('virus', 0.2), ('people', 0.2), ('health', 0.2), ('outbreak', 0.2), ('spread', 0.2), ('government', 0.2), ('infection', 0.2), ('travel', 0.2), ('epidemic', 0.2), ('emergency', 0.2)], [('flight', -0.2), ('impact', -0.2), ('business', -0.2), ('economy', -0.2), ('economic', -0.2), ('pandemic', 0.3), ('vaccine', 0.3), ('restriction', -0.2), ('care', 0.2), ('research', 0.2), ('study', 0.3), ('cost', -0.2), ('drug', 0.3)], [('passenger', -0.2), ('market', 0.2), ('impact', 0.3), ('economy', 0.3), ('stock', 0.2), ('economic', 0.3), ('airport', -0.2), ('financial', 0.2), ('research', 0.2), ('cost', 0.3), ('drug', 0.2), ('control_prevention', -0.2)], [('hospital', 0.2), ('sars', -0.2), ('doctor', 0.2), ('illness', -0.2), ('deadly', 0.2), ('prevent', 0.2), ('tourist', -0.2), ('cause', -0.3), ('threat', 0.2), ('revenue', -0.2), ('research', -0.2), ('employee', -0.2), ('transmission', -0.3), ('tourism', -0.2), ('scientist', -0.2), ('problem', 0.2)]]"
2,5,0.4568330199945266,"[[('coronavirus', 0.2), ('virus', 0.2), ('people', 0.2), ('health', 0.2), ('outbreak', 0.2), ('spread', 0.2), ('government', 0.2), ('infection', 0.2), ('travel', 0.2), ('epidemic', 0.2), ('emergency', 0.2)], [('flight', -0.2), ('impact', -0.2), ('business', -0.2), ('economy', -0.2), ('economic', -0.2), ('pandemic', 0.3), ('vaccine', 0.3), ('restriction', -0.2), ('care', 0.2), ('research', 0.2), ('study', 0.3), ('cost', -0.2), ('drug', 0.3)], [('passenger', -0.2), ('market', 0.2), ('impact', 0.3), ('economy', 0.3), ('stock', 0.2), ('economic', 0.3), ('airport', -0.2), ('financial', 0.2), ('research', 0.2), ('cost', 0.3), ('drug', 0.2), ('control_prevention', -0.2)], [('hospital', 0.2), ('sars', -0.2), ('doctor', 0.2), ('illness', -0.2), ('deadly', 0.2), ('prevent', 0.2), ('tourist', -0.2), ('cause', -0.3), ('threat', 0.2), ('revenue', -0.2), ('research', -0.2), ('employee', -0.2), ('transmission', -0.3), ('tourism', -0.2), ('scientist', -0.2), ('problem', 0.2)], [('illness', -0.2), ('production', 0.2), ('wearing_protective', 0.2), ('police', 0.2), ('threat', 0.2), ('revenue', 0.3), ('policy', 0.2), ('scientist', -0.2), ('safety', 0.2), ('analyst', 0.3), ('temperature', 0.3)]]"
3,6,0.4884176083597839,"[[('coronavirus', 0.2), ('virus', 0.2), ('people', 0.2), ('health', 0.2), ('outbreak', 0.2), ('spread', 0.2), ('government', 0.2), ('infection', 0.2), ('travel', 0.2), ('epidemic', 0.2), ('emergency', 0.2)], [('flight', -0.2), ('impact', -0.2), ('business', -0.2), ('economy', -0.2), ('economic', -0.2), ('pandemic', 0.3), ('vaccine', 0.3), ('restriction', -0.2), ('care', 0.2), ('research', 0.2), ('study', 0.3), ('cost', -0.2), ('drug', 0.3)], [('passenger', -0.2), ('market', 0.2), ('impact', 0.3), ('economy', 0.3), ('stock', 0.2), ('economic', 0.3), ('airport', -0.2), ('financial', 0.2), ('research', 0.2), ('cost', 0.3), ('drug', 0.2), ('control_prevention', -0.2)], [('hospital', 0.2), ('sars', -0.2), ('doctor', 0.2), ('illness', -0.2), ('deadly', 0.2), ('prevent', 0.2), ('tourist', -0.2), ('cause', -0.3), ('threat', 0.2), ('revenue', -0.2), ('research', -0.2), ('employee', -0.2), ('transmission', -0.3), ('tourism', -0.2), ('scientist', -0.2), ('problem', 0.2)], [('illness', -0.2), ('production', 0.2), ('wearing_protective', 0.2), ('police', 0.2), ('threat', 0.2), ('revenue', 0.3), ('policy', 0.2), ('scientist', -0.2), ('safety', 0.2), ('analyst', 0.3), ('temperature', 0.3)], [('patient', 0.2), ('death', -0.2), ('economic', -0.2), ('school', -0.2), ('help', -0.2), ('result', 0.2), ('doctor', 0.2), ('killed', -0.2), ('crisis', -0.2), ('financial', 0.2), ('president', 0.2), ('conference', -0.2), ('production', 0.3), ('study', -0.2), ('policy', -0.2), ('infectious_disease', 0.2)]]"
4,7,0.5177158933559975,"[[('coronavirus', 0.2), ('virus', 0.2), ('people', 0.2), ('health', 0.2), ('outbreak', 0.2), ('spread', 0.2), ('government', 0.2), ('infection', 0.2), ('travel', 0.2), ('epidemic', 0.2), ('emergency', 0.2)], [('flight', -0.2), ('impact', -0.2), ('business', -0.2), ('economy', -0.2), ('economic', -0.2), ('pandemic', 0.3), ('vaccine', 0.3), ('restriction', -0.2), ('care', 0.2), ('research', 0.2), ('study', 0.3), ('cost', -0.2), ('drug', 0.3)], [('passenger', -0.2), ('market', 0.2), ('impact', 0.3), ('economy', 0.3), ('stock', 0.2), ('economic', 0.3), ('airport', -0.2), ('financial', 0.2), ('research', 0.2), ('cost', 0.3), ('drug', 0.2), ('control_prevention', -0.2)], [('hospital', 0.2), ('sars', -0.2), ('doctor', 0.2), ('illness', -0.2), ('deadly', 0.2), ('prevent', 0.2), ('tourist', -0.2), ('cause', -0.3), ('threat', 0.2), ('revenue', -0.2), ('research', -0.2), ('employee', -0.2), ('transmission', -0.3), ('tourism', -0.2), ('scientist', -0.2), ('problem', 0.2)], [('illness', -0.2), ('financial', 0.2), ('production', 0.2), ('wearing_protective', 0.2), ('police', 0.2), ('threat', 0.2), ('revenue', 0.3), ('policy', 0.2), ('scientist', -0.2), ('safety', 0.2), ('analyst', 0.3), ('temperature', 0.3)], [('patient', 0.2), ('death', -0.2), ('economic', -0.2), ('school', -0.2), ('help', -0.2), ('result', 0.2), ('doctor', 0.2), ('killed', -0.2), ('crisis', -0.2), ('financial', 0.2), ('president', 0.2), ('conference', -0.2), ('production', 0.3), ('study', -0.2), ('policy', -0.2), ('infectious_disease', 0.2)], [('hospital', -0.2), ('covid', -0.2), ('disease', 0.2), ('school', 0.2), ('control', 0.2), ('face_mask', -0.3), ('flu', -0.2), ('president', 0.2), ('treatment', -0.2), ('care', 0.2), ('production', 0.2), ('wearing_protective', -0.2), ('infectious_disease', -0.2), ('analyst', 0.2), ('problem', 0.2)]]"
5,8,0.5442854946325072,"[[('coronavirus', 0.2), ('virus', 0.2), ('people', 0.2), ('health', 0.2), ('outbreak', 0.2), ('spread', 0.2), ('government', 0.2), ('infection', 0.2), ('travel', 0.2), ('epidemic', 0.2), ('emergency', 0.2)], [('flight', -0.2), ('impact', -0.2), ('business', -0.2), ('economy', -0.2), ('economic', -0.2), ('pandemic', 0.3), ('vaccine', 0.3), ('restriction', -0.2), ('care', 0.2), ('research', 0.2), ('study', 0.3), ('cost', -0.2), ('drug', 0.3)], [('passenger', -0.2), ('market', 0.2), ('impact', 0.3), ('economy', 0.3), ('stock', 0.2), ('economic', 0.3), ('airport', -0.2), ('financial', 0.2), ('research', 0.2), ('cost', 0.3), ('drug', 0.2), ('control_prevention', -0.2)], [('hospital', 0.2), ('sars', -0.2), ('doctor', 0.2), ('illness', -0.2), ('deadly', 0.2), ('prevent', 0.2), ('tourist', -0.2), ('cause', -0.3), ('threat', 0.2), ('revenue', -0.2), ('research', -0.2), ('employee', -0.2), ('transmission', -0.3), ('tourism', -0.2), ('scientist', -0.2), ('problem', 0.2)], [('illness', -0.2), ('financial', 0.2), ('production', 0.2), ('wearing_protective', 0.2), ('police', 0.2), ('threat', 0.2), ('revenue', 0.3), ('policy', 0.2), ('scientist', -0.2), ('safety', 0.2), ('analyst', 0.3), ('temperature', 0.3)], [('patient', 0.2), ('death', -0.2), ('economic', -0.2), ('school', -0.2), ('help', -0.2), ('result', 0.2), ('doctor', 0.2), ('killed', -0.2), ('crisis', -0.2), ('financial', 0.2), ('president', 0.2), ('conference', -0.2), ('production', 0.3), ('study', -0.2), ('policy', -0.2), ('infectious_disease', 0.2)], [('hospital', -0.2), ('covid', -0.2), ('disease', 0.2), ('school', 0.2), ('control', 0.2), ('face_mask', -0.3), ('flu', -0.2), ('president', 0.2), ('treatment', -0.2), ('care', 0.2), ('production', 0.2), ('wearing_protective', -0.2), ('infectious_disease', -0.2), ('analyst', 0.2), ('problem', 0.2)], [('covid', -0.2), ('work', -0.2), ('quarantined', -0.2), ('died', 0.2), ('help', 0.2), ('killed', -0.2), ('effort', -0.2), ('treatment', 0.2), ('conference', 0.2), ('care', -0.2), ('police', -0.2), ('employee', 0.2), ('policy', 0.2), ('infectious_disease', 0.2), ('analyst', 0.2), ('temperature', -0.2)]]"
6,9,0.5690110827184742,"[[('coronavirus', 0.2), ('virus', 0.2), ('people', 0.2), ('health', 0.2), ('outbreak', 0.2), ('spread', 0.2), ('government', 0.2), ('infection', 0.2), ('travel', 0.2), ('epidemic', 0.2), ('emergency', 0.2)], [('flight', -0.2), ('impact', -0.2), ('business', -0.2), ('economy', -0.2), ('economic', -0.2), ('pandemic', 0.3), ('vaccine', 0.3), ('restriction', -0.2), ('care', 0.2), ('research', 0.2), ('study', 0.3), ('cost', -0.2), ('drug', 0.3)], [('passenger', -0.2), ('market', 0.2), ('impact', 0.3), ('economy', 0.3), ('stock', 0.2), ('economic', 0.3), ('airport', -0.2), ('financial', 0.2), ('research', 0.2), ('cost', 0.3), ('drug', 0.2), ('control_prevention', -0.2)], [('hospital', 0.2), ('sars', -0.2), ('doctor', 0.2), ('illness', -0.2), ('deadly', 0.2), ('prevent', 0.2), ('tourist', -0.2), ('cause', -0.3), ('threat', 0.2), ('revenue', -0.2), ('research', -0.2), ('employee', -0.2), ('transmission', -0.3), ('tourism', -0.2), ('scientist', -0.2), ('problem', 0.2)], [('illness', -0.2), ('financial', 0.2), ('production', 0.2), ('wearing_protective', 0.2), ('police', 0.2), ('threat', 0.2), ('revenue', 0.3), ('policy', 0.2), ('scientist', -0.2), ('safety', 0.2), ('analyst', 0.3), ('temperature', 0.3)], [('patient', 0.2), ('death', -0.2), ('economic', -0.2), ('school', -0.2), ('help', -0.2), ('result', 0.2), ('doctor', 0.2), ('killed', -0.2), ('crisis', -0.2), ('financial', 0.2), ('president', 0.2), ('conference', -0.2), ('production', 0.3), ('study', -0.2), ('policy', -0.2), ('infectious_disease', 0.2)], [('hospital', -0.2), ('covid', -0.2), ('disease', 0.2), ('school', 0.2), ('control', 0.2), ('face_mask', -0.3), ('flu', -0.2), ('president', 0.2), ('treatment', -0.2), ('care', 0.2), ('production', 0.2), ('wearing_protective', -0.2), ('infectious_disease', -0.2), ('analyst', 0.2), ('problem', 0.2)], [('covid', -0.2), ('work', -0.2), ('quarantined', -0.2), ('died', 0.2), ('help', 0.2), ('killed', -0.2), ('effort', -0.2), ('treatment', 0.2), ('conference', 0.2), ('care', -0.2), ('police', -0.2), ('employee', 0.2), ('policy', 0.2), ('infectious_disease', 0.2), ('analyst', 0.2), ('temperature', -0.2)], [('passenger', 0.2), ('airport', 0.2), ('doctor', 0.2), ('spreading', 0.2), ('crisis', -0.2), ('restriction', -0.2), ('care', -0.2), ('wearing_protective', -0.2), ('cause', 0.2), ('employee', 0.2), ('development', -0.2), ('lockdown', 0.2), ('policy', 0.2), ('cost', 0.2), ('temperature', 0.2)]]"
7,10,0.5939156318153269,"[[('coronavirus', 0.2), ('virus', 0.2), ('people', 0.2), ('health', 0.2), ('outbreak', 0.2), ('spread', 0.2), ('government', 0.2), ('infection', 0.2), ('travel', 0.2), ('epidemic', 0.2), ('emergency', 0.2)], [('flight', -0.2), ('impact', -0.2), ('business', -0.2), ('economy', -0.2), ('economic', -0.2), ('pandemic', 0.3), ('vaccine', 0.3), ('restriction', -0.2), ('care', 0.2), ('research', 0.2), ('study', 0.3), ('cost', -0.2), ('drug', 0.3)], [('passenger', -0.2), ('market', 0.2), ('impact', 0.3), ('economy', 0.3), ('stock', 0.2), ('economic', 0.3), ('airport', -0.2), ('financial', 0.2), ('research', 0.2), ('cost', 0.3), ('drug', 0.2), ('control_prevention', -0.2)], [('hospital', 0.2), ('sars', -0.2), ('doctor', 0.2), ('illness', -0.2), ('deadly', 0.2), ('prevent', 0.2), ('tourist', -0.2), ('cause', -0.3), ('threat', 0.2), ('revenue', -0.2), ('research', -0.2), ('employee', -0.2), ('transmission', -0.3), ('tourism', -0.2), ('scientist', -0.2), ('problem', 0.2)], [('illness', -0.2), ('financial', 0.2), ('production', 0.2), ('wearing_protective', 0.2), ('police', 0.2), ('threat', 0.2), ('revenue', 0.3), ('policy', 0.2), ('scientist', -0.2), ('safety', 0.2), ('analyst', 0.3), ('temperature', 0.3)], [('patient', 0.2), ('death', -0.2), ('economic', -0.2), ('school', -0.2), ('help', -0.2), ('result', 0.2), ('doctor', 0.2), ('killed', -0.2), ('crisis', -0.2), ('financial', 0.2), ('president', 0.2), ('conference', -0.2), ('production', 0.3), ('study', -0.2), ('policy', -0.2), ('infectious_disease', 0.2)], [('hospital', -0.2), ('covid', -0.2), ('disease', 0.2), ('school', 0.2), ('control', 0.2), ('face_mask', -0.3), ('flu', -0.2), ('president', 0.2), ('treatment', -0.2), ('care', 0.2), ('production', 0.2), ('wearing_protective', -0.2), ('infectious_disease', -0.2), ('analyst', 0.2), ('problem', 0.2)], [('covid', -0.2), ('work', -0.2), ('quarantined', -0.2), ('died', 0.2), ('help', 0.2), ('killed', -0.2), ('effort', -0.2), ('treatment', 0.2), ('conference', 0.2), ('care', -0.2), ('police', -0.2), ('employee', 0.2), ('policy', 0.2), ('infectious_disease', 0.2), ('analyst', 0.2), ('temperature', -0.2)], [('passenger', -0.2), ('airport', -0.2), ('doctor', -0.2), ('crisis', 0.2), ('restriction', 0.2), ('care', 0.2), ('wearing_protective', 0.2), ('ncov', 0.2), ('employee', -0.3), ('lockdown', -0.2), ('policy', -0.2), ('security', 0.2), ('analyst', -0.2), ('temperature', -0.2)], [('covid', -0.3), ('medical', -0.2), ('flight', -0.2), ('impact', 0.2), ('treatment', 0.2), ('prevent', 0.3), ('threat', 0.2), ('transmission', 0.2), ('cost', 0.3), ('infectious_disease', 0.2), ('security', 0.2), ('analyst', -0.2)]]"
8,11,0.6161410711425883,"[[('coronavirus', 0.2), ('virus', 0.2), ('people', 0.2), ('health', 0.2), ('outbreak', 0.2), ('spread', 0.2), ('government', 0.2), ('infection', 0.2), ('travel', 0.2), ('epidemic', 0.2), ('emergency', 0.2)], [('flight', -0.2), ('impact', -0.2), ('business', -0.2), ('economy', -0.2), ('economic', -0.2), ('pandemic', 0.3), ('vaccine', 0.3), ('restriction', -0.2), ('care', 0.2), ('research', 0.2), ('study', 0.3), ('cost', -0.2), ('drug', 0.3)], [('passenger', -0.2), ('market', 0.2), ('impact', 0.3), ('economy', 0.3), ('stock', 0.2), ('economic', 0.3), ('airport', -0.2), ('financial', 0.2), ('research', 0.2), ('cost', 0.3), ('drug', 0.2), ('control_prevention', -0.2)], [('hospital', 0.2), ('sars', -0.2), ('doctor', 0.2), ('illness', -0.2), ('deadly', 0.2), ('prevent', 0.2), ('tourist', -0.2), ('cause', -0.3), ('threat', 0.2), ('revenue', -0.2), ('research', -0.2), ('employee', -0.2), ('transmission', -0.3), ('tourism', -0.2), ('scientist', -0.2), ('problem', 0.2)], [('illness', -0.2), ('financial', 0.2), ('production', 0.2), ('wearing_protective', 0.2), ('police', 0.2), ('threat', 0.2), ('revenue', 0.3), ('policy', 0.2), ('scientist', -0.2), ('safety', 0.2), ('analyst', 0.3), ('temperature', 0.3)], [('patient', 0.2), ('death', -0.2), ('economic', -0.2), ('school', -0.2), ('help', -0.2), ('result', 0.2), ('doctor', 0.2), ('killed', -0.2), ('crisis', -0.2), ('financial', 0.2), ('president', 0.2), ('conference', -0.2), ('production', 0.3), ('study', -0.2), ('policy', -0.2), ('infectious_disease', 0.2)], [('hospital', -0.2), ('covid', -0.2), ('disease', 0.2), ('school', 0.2), ('control', 0.2), ('face_mask', -0.3), ('flu', -0.2), ('president', 0.2), ('treatment', -0.2), ('care', 0.2), ('production', 0.2), ('wearing_protective', -0.2), ('infectious_disease', -0.2), ('analyst', 0.2), ('problem', 0.3)], [('covid', -0.2), ('work', -0.2), ('quarantined', -0.2), ('died', 0.2), ('help', 0.2), ('killed', -0.2), ('effort', -0.2), ('treatment', 0.2), ('conference', 0.2), ('care', -0.2), ('police', -0.2), ('employee', 0.2), ('policy', 0.2), ('infectious_disease', 0.2), ('analyst', 0.2), ('temperature', -0.2)], [('passenger', 0.2), ('airport', 0.2), ('doctor', 0.2), ('spreading', 0.2), ('crisis', -0.2), ('restriction', -0.2), ('care', -0.2), ('wearing_protective', -0.2), ('cause', 0.2), ('employee', 0.2), ('study', 0.2), ('development', -0.2), ('policy', 0.3), ('cost', 0.2), ('temperature', 0.2)], [('covid', -0.3), ('impact', 0.2), ('business', -0.2), ('stock', 0.2), ('treatment', 0.2), ('prevent', 0.3), ('production', -0.2), ('transmission', 0.2), ('cost', 0.2), ('infectious_disease', 0.2), ('security', 0.3), ('analyst', -0.2)], [('work', -0.2), ('result', 0.2), ('face_mask', 0.3), ('killed', 0.2), ('effort', -0.2), ('care', 0.2), ('tourist', 0.2), ('wearing_protective', 0.2), ('police', -0.2), ('threat', 0.2), ('development', -0.3), ('security', -0.2), ('drug', -0.2), ('problem', 0.3), ('temperature', -0.2)]]"
9,12,0.6386454209064599,"[[('coronavirus', 0.2), ('virus', 0.2), ('people', 0.2), ('health', 0.2), ('outbreak', 0.2), ('spread', 0.2), ('government', 0.2), ('infection', 0.2), ('travel', 0.2), ('epidemic', 0.2), ('emergency', 0.2)], [('flight', -0.2), ('impact', -0.2), ('business', -0.2), ('economy', -0.2), ('economic', -0.2), ('pandemic', 0.3), ('vaccine', 0.3), ('restriction', -0.2), ('care', 0.2), ('research', 0.2), ('study', 0.3), ('cost', -0.2), ('drug', 0.3)], [('passenger', -0.2), ('market', 0.2), ('impact', 0.3), ('economy', 0.3), ('stock', 0.2), ('economic', 0.3), ('airport', -0.2), ('financial', 0.2), ('research', 0.2), ('cost', 0.3), ('drug', 0.2)], [('hospital', 0.2), ('sars', -0.2), ('doctor', 0.2), ('illness', -0.2), ('deadly', 0.2), ('prevent', 0.2), ('tourist', -0.2), ('cause', -0.3), ('threat', 0.2), ('revenue', -0.2), ('research', -0.2), ('employee', -0.2), ('transmission', -0.3), ('tourism', -0.2), ('scientist', -0.2), ('problem', 0.2)], [('illness', -0.2), ('production', 0.2), ('wearing_protective', 0.2), ('police', 0.2), ('threat', 0.2), ('revenue', 0.3), ('policy', 0.2), ('scientist', -0.2), ('safety', 0.2), ('analyst', 0.3), ('temperature', 0.3)], [('patient', 0.2), ('death', -0.2), ('economic', -0.2), ('school', -0.2), ('help', -0.2), ('result', 0.2), ('doctor', 0.2), ('killed', -0.2), ('crisis', -0.2), ('financial', 0.2), ('president', 0.2), ('conference', -0.2), ('production', 0.3), ('study', -0.2), ('policy', -0.2), ('infectious_disease', 0.2)], [('hospital', -0.2), ('covid', -0.2), ('disease', 0.2), ('school', 0.2), ('control', 0.2), ('face_mask', -0.3), ('flu', -0.2), ('president', 0.2), ('treatment', -0.2), ('care', 0.2), ('production', 0.2), ('wearing_protective', -0.2), ('infectious_disease', -0.2), ('analyst', 0.2), ('problem', 0.2)], [('covid', -0.2), ('work', -0.2), ('quarantined', -0.2), ('died', 0.2), ('help', 0.2), ('killed', -0.2), ('effort', -0.2), ('treatment', 0.2), ('conference', 0.2), ('care', -0.2), ('police', -0.2), ('employee', 0.2), ('policy', 0.2), ('infectious_disease', 0.2), ('analyst', 0.2), ('temperature', -0.2)], [('passenger', -0.2), ('business', -0.2), ('stock', 0.2), ('airport', -0.2), ('doctor', -0.2), ('crisis', 0.2), ('death_toll', -0.2), ('restriction', 0.2), ('employee', -0.2), ('lockdown', -0.2), ('policy', -0.2), ('security', 0.2), ('analyst', -0.2), ('temperature', -0.2)], [('covid', -0.3), ('medical', -0.2), ('flight', -0.2), ('impact', 0.2), ('help', -0.2), ('crisis', -0.2), ('treatment', 0.2), ('prevent', 0.3), ('threat', 0.2), ('development', -0.2), ('cost', 0.3), ('infectious_disease', 0.2), ('security', 0.2), ('analyst', -0.2)], [('work', -0.2), ('business', 0.2), ('result', 0.2), ('face_mask', 0.3), ('killed', 0.2), ('effort', -0.2), ('care', 0.2), ('tourist', 0.2), ('wearing_protective', 0.2), ('police', -0.2), ('threat', 0.2), ('development', -0.2), ('security', -0.2), ('problem', 0.3), ('temperature', -0.2)], [('flight', -0.2), ('stock', -0.2), ('tested_positive', -0.2), ('crisis', 0.2), ('flu', 0.2), ('president', 0.2), ('death_toll', -0.2), ('restriction', -0.2), ('conference', -0.2), ('ncov', 0.2), ('police', 0.2), ('development', 0.2), ('infectious_disease', 0.2), ('security', 0.2), ('action', 0.2)]]"
